"","x"
"1",0.296955173679623
"2",-0.0577916748837258
"3",0.498020833989306
"4",0.123165706209398
"5",0.558165300837028
"6",0.039526363630257
"7",0.361724535870158
"8",0.306467686480292
"9",-0.0146571757556216
"10",0.31917321588781
"11",-0.0525722983323125
"12",-0.138785868359931
"13",0.166125423541751
"14",0.425225826421111
"15",0.206629005389086
"16",0.358099815052412
"17",0.280160755996222
"18",0.408247041884801
"19",0.0718801796770869
"20",0.207949392018278
"21",0.161399812019824
"22",0.192538885297824
"23",-0.0515509674752946
"24",0.281364222221601
"25",0.202679753112507
"26",0.232113544748216
"27",0.525514525354132
"28",0.268957714802513
"29",-0.255093678805803
"30",0.276555572824751
"31",0.266007188757674
"32",0.485753184682279
"33",0.287748624866605
"34",0.442595513836879
"35",0.33123598221565
"36",-0.0596989356039541
"37",0.0169658792651133
"38",0.312924365632798
"39",0.099753170180513
"40",0.101542066822755
"41",0.17426373406446
"42",0.122551678460637
"43",0.316809361841823
"44",0.290765334862979
"45",0.141844125918908
"46",0.462159414891188
"47",-0.0252604158502839
"48",0.219687877982393
"49",0.0867335840632939
"50",0.357616461644888
"51",-0.0419437762859672
"52",-0.08432117651228
"53",0.0247791811497878
"54",0.215702126536213
"55",0.689464460135083
"56",0.197443056560967
"57",0.193659483387244
"58",0.00255829142742803
"59",0.0599374004161597
"60",-0.164231823939693
"61",0.0598020523982962
"62",-0.00116166239258175
"63",-0.0550233010347123
"64",0.00963815460784087
"65",0.469328726742057
"66",0.222128253779294
"67",0.32674372522753
"68",0.102738432047457
"69",0.0645575011377524
"70",0.225474350205092
"71",0.0640635632574637
"72",0.176554514790867
"73",0.110363854253864
"74",-0.11581116809781
"75",0.11635520138588
"76",0.215765767578809
"77",0.244034570312684
"78",0.210896718869314
"79",0.321441828858423
"80",0.374127516865499
"81",0.285771433453555
"82",0.767240918433405
"83",0.195208035771898
"84",-0.210403723328379
"85",0.0757025270007055
"86",0.212988563866488
"87",0.162005427407616
"88",0.240327135526579
"89",0.303779107218938
"90",-0.0504197264831338
"91",-0.0259555266130465
"92",0.209846865986453
"93",0.207232220177188
"94",0.312102396669436
"95",0.0315388887905044
"96",0.230157677400414
"97",0.199770626539665
"98",0.123694358430333
"99",0.329659159087149
"100",0.348281549882715
"101",0.413640395579688
"102",0.200909161779804
"103",0.0396636674225652
"104",0.0279564031061593
"105",0.281974144788836
"106",0.323771933722197
"107",-0.218537102165623
"108",0.0691147277442088
"109",0.135812044669117
"110",0.293627782193486
"111",0.168569347585278
"112",0.242916997848629
"113",-0.166897692563799
"114",0.115276126877417
"115",0.451063388374542
"116",0.209266088143946
"117",0.461752087090893
"118",0.37133211222468
"119",0.0484044636266912
"120",0.225169043785245
"121",0.386076846881105
"122",0.514542551165037
"123",0.12877608680391
"124",0.0377772147471915
"125",0.189588350905834
"126",0.41672025122965
"127",0.333881324293297
"128",-0.0420684759011858
"129",0.55139616622033
"130",-0.0787040288555789
"131",0.323925853516962
"132",0.121850131946998
"133",0.597983378411305
"134",0.403012272695596
"135",-0.168641289605548
"136",0.268857340122427
"137",0.304088593082215
"138",0.086511137252706
"139",-0.107145099992959
"140",0.0685342421922987
"141",0.0834424390835994
"142",0.0360522250048174
"143",0.132604807774062
"144",0.362676676874032
"145",0.159497501338761
"146",0.454889180923257
"147",0.000893470060765122
"148",0.00147181704239871
"149",0.281089974792312
"150",0.264270897279405
"151",0.347451620859205
"152",0.147228165991338
"153",-0.109792994987384
"154",0.101361758601041
"155",-0.118761125196447
"156",0.305160270599586
"157",0.311192280652461
"158",0.184156433953438
"159",0.416086734675167
"160",0.246064346379737
"161",0.0851328487117516
"162",0.502084854259924
"163",0.280652385649312
"164",0.216014664852252
"165",0.11835961414785
"166",-0.0326774217639548
"167",0.20553647030273
"168",-0.233284417475407
"169",-0.134099737524051
"170",0.170504350082403
"171",0.000576167534112049
"172",0.186447665354058
"173",0.0267102712931875
"174",0.384916021855825
"175",0.144068406737072
"176",-0.121621867201982
"177",0.271412494001754
"178",-0.159365895018267
"179",0.518341053197429
"180",0.241840428878441
"181",0.0838561426014213
"182",0.384521531579035
"183",0.473995891659877
"184",0.205135562412744
"185",0.0211763249428027
"186",0.128066057354778
"187",0.294989024065879
"188",0.216963477581147
"189",0.254649919021134
"190",0.201469607516619
"191",0.424809839838854
"192",0.141081840731805
"193",0.176565394582
"194",0.248346717822289
"195",-0.0394838929385701
"196",0.206166848467067
"197",-0.016026115198358
"198",0.505678308862334
"199",0.0100661867113032
"200",0.227096187201096
"201",0.0560721205774769
"202",0.241388812295137
"203",0.419579648885945
"204",0.114974748854714
"205",0.0715424253602573
"206",0.0328872127280812
"207",0.365732583139115
"208",0.674945198752199
"209",0.148213415388761
"210",0.24830780046569
"211",0.0861543020481087
"212",0.0703007301665147
"213",0.217736471212922
"214",-0.151400790072418
"215",0.109029562441236
"216",0.0284390282565397
"217",0.317125299852913
"218",-0.0704653388491894
"219",0.105123080455004
"220",-0.0803918751239112
"221",0.00927134951810335
"222",0.125946677097637
"223",0.374473130611412
"224",0.276230033591319
"225",-0.005236652143463
"226",0.351607105138077
"227",-0.0975726596965029
"228",0.0675513494890156
"229",0.0600455274763147
"230",0.00242201015560692
"231",-0.121445438798864
"232",0.236618205874085
"233",0.0214657218769903
"234",-0.0170455680883686
"235",0.109814695177755
"236",-0.0420196444212967
"237",0.0689513469546748
"238",-0.0887686306697235
